Date,Open,High,Low,Close,Adj Close,Volume
15-Oct-14,16313.3,16313.3,15855.12,16141.74,16141.74,1603800
16-Oct-14,16137.14,16211.12,15935.22,16117.24,16117.24,1316700
17-Oct-14,16118.39,16427.38,16118.39,16380.41,16380.41,1379100
20-Oct-14,16373.15,16401.63,16260.54,16399.67,16399.67,943200
21-Oct-14,16406.03,16620.78,16405.77,16614.81,16614.81,1051100
22-Oct-14,16615.26,16653.89,16459.85,16461.32,16461.32,920500
23-Oct-14,16468.07,16767.52,16468.07,16677.9,16677.9,994200
24-Oct-14,16677.04,16811.71,16649.72,16805.41,16805.41,904000
27-Oct-14,16796.1,16836.98,16729.83,16817.94,16817.94,725800
28-Oct-14,16825.19,17006.45,16825.19,17005.75,17005.75,838700
29-Oct-14,17005.07,17065.5,16895.38,16974.31,16974.31,764500
30-Oct-14,16968.14,17223.96,16920.76,17195.42,17195.42,801800
31-Oct-14,17208.78,17395.54,17208.78,17390.52,17390.52,1216100
3-Nov-14,17390.9,17410.65,17339.85,17366.24,17366.24,800300
4-Nov-14,17368.81,17397.23,17278.36,17383.84,17383.84,813900
5-Nov-14,17385.76,17486.59,17385.76,17484.53,17484.53,760300
6-Nov-14,17491.66,17560.31,17440.35,17554.47,17554.47,706700
7-Nov-14,17558.58,17575.33,17493.37,17573.93,17573.93,828600
10-Nov-14,17568.98,17621.87,17547.51,17613.74,17613.74,714300
11-Nov-14,17615.64,17638.21,17584.94,17614.9,17614.9,528800
12-Nov-14,17604.75,17626.71,17536.17,17612.2,17612.2,759800
13-Nov-14,17618.69,17705.48,17583.88,17652.79,17652.79,805400
14-Nov-14,17653.11,17664.15,17613.2,17634.74,17634.74,728500
17-Nov-14,17631.85,17675.07,17606.81,17647.75,17647.75,703300
18-Nov-14,17643.09,17735.71,17642.03,17687.82,17687.82,874200
19-Nov-14,17685.51,17712.26,17624.5,17685.73,17685.73,737800
20-Nov-14,17677.32,17720.44,17603.89,17719,17719,777400
21-Nov-14,17721.02,17894.83,17721.02,17810.06,17810.06,1409400
24-Nov-14,17812.63,17855.27,17793.19,17817.9,17817.9,855100
25-Nov-14,17819.05,17854.73,17790.89,17814.94,17814.94,881900
26-Nov-14,17812.25,17833.76,17791.16,17827.75,17827.75,674500
28-Nov-14,17830.55,17893.42,17807.78,17828.24,17828.24,804700
1-Dec-14,17827.27,17827.27,17726.55,17776.8,17776.8,863900
2-Dec-14,17778.85,17897.05,17778.85,17879.55,17879.55,819700
3-Dec-14,17880.9,17924.15,17855.59,17912.62,17912.62,994000
4-Dec-14,17910.02,17937.96,17814.81,17900.1,17900.1,762700
5-Dec-14,17903.05,17991.19,17903.05,17958.79,17958.79,791100
8-Dec-14,17954.94,17960.56,17804.28,17852.48,17852.48,886800
9-Dec-14,17847.37,17847.37,17629.57,17801.2,17801.2,1004000
10-Dec-14,17797.99,17797.99,17508.1,17533.15,17533.15,1151000
11-Dec-14,17534.3,17758.51,17534.3,17596.34,17596.34,901000
12-Dec-14,17590.05,17590.05,17280.83,17280.83,17280.83,1219500
15-Dec-14,17285.74,17403.54,17115.28,17180.84,17180.84,1140500
16-Dec-14,17173.07,17427.44,17067.59,17068.87,17068.87,1166400
17-Dec-14,17069.16,17389.3,17069.16,17356.87,17356.87,1182200
18-Dec-14,17367.85,17778.4,17367.85,17778.15,17778.15,1239400
19-Dec-14,17778.02,17874.03,17746.55,17804.8,17804.8,3436900
22-Dec-14,17812.25,17962.78,17812.25,17959.44,17959.44,984600
23-Dec-14,17971.51,18069.22,17970.16,18024.17,18024.17,828900
24-Dec-14,18035.73,18086.24,18027.78,18030.21,18030.21,428700
26-Dec-14,18038.3,18103.45,18038.3,18053.71,18053.71,525700
29-Dec-14,18046.58,18073.04,18021.57,18038.23,18038.23,538700
30-Dec-14,18035.02,18035.02,17959.7,17983.07,17983.07,474900
31-Dec-14,17987.66,18043.22,17820.88,17823.07,17823.07,828400
